segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,0.49,0.10321294,0.06631050857843138,2461.2532729660547,2500.9100183149285,-281.2763,103.00316,-78.67965,-32.261288,-43.635803,3.8094754,-11.961892,9.276174,-9.475454,-17.50351,-1.4403322,-4.587433,5.1692038
14,1.19,1.6800000000000002,0.107052766,0.05463962928921569,2266.7520761414667,2561.4434684649477,-299.3622,112.29196,-65.93264,-50.33717,-54.13292,-22.845663,-19.428425,3.46811,1.3875695,-12.14665,-8.544672,-11.809679,-0.9468601
16,1.6800000000000002,2.0999999999999996,0.05507856,0.06043836805555555,2267.6813393562593,2364.790589639989,-304.2731,136.46896,-83.18712,-34.828537,-49.14285,-23.629755,-23.96742,-2.4264953,-5.872388,-6.825298,-1.9608252,-8.9930315,-3.472822
106,9.73,9.870000000000001,0.07150803,0.06880115327380952,2722.884239700401,3096.1423336576477,-307.90683,125.18207,-55.813442,-39.558773,-52.530037,-4.5387597,-14.37829,26.66834,-14.509482,-12.99006,5.113342,-13.668425,-8.170702
112,10.290000000000001,10.709999999999999,0.056040525,0.06701388888888889,2544.0526013359017,2556.277024401763,-294.39563,129.25131,-89.89181,-27.129875,-45.957695,-2.4639914,-21.06402,7.1944714,-6.585859,-7.654189,5.410882,-9.844889,-9.273249
113,10.64,11.06,0.05886562,0.06615668402777777,2561.8268714595138,2690.705350079229,-299.22675,141.17741,-73.08167,-35.996033,-47.482998,-6.004653,-25.224155,16.465488,-0.2395561,-12.498282,-4.3500757,-17.697977,-9.135525
