segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
7,0.35,0.7,0.09464048,0.03220152243589743,1836.4996367884812,2746.1753325739733,-355.85126,134.20868,7.3988357,-17.172903,-41.550865,-23.096134,-23.449633,-4.5728908,-5.0685635,-2.7837787,-6.7787733,-4.086686,5.449527
8,0.63,0.98,0.07302509,0.03198868189102564,1312.7866044402992,1873.0554322794824,-363.0888,155.14781,15.591716,-25.45977,-54.037724,-36.720623,-27.814781,-8.717486,-12.47624,-9.757727,-10.779151,-3.6618526,8.843302
15,1.33,1.6800000000000002,0.071899064,0.031613080929487176,1975.2032956070818,2805.408633244915,-410.5948,120.43859,5.713109,-12.219703,-36.25206,-25.54999,-18.220697,-5.604566,-4.6453786,-7.207959,-15.763438,-3.956319,9.678959
21,1.96,2.31,0.07443181,0.03088691907051282,1882.8185452945872,2750.699088354814,-397.52295,114.48236,5.081092,-16.663685,-37.4376,-24.556095,-19.801668,-6.9475293,-8.014223,-3.6310933,-12.979928,-6.9393435,7.0350904
26,2.52,2.87,0.084467605,0.029647435897435896,1876.9337055647168,2791.2546080424354,-398.5426,115.06053,2.647932,-17.88293,-41.343918,-28.041557,-18.315989,-2.713208,-9.341354,-5.125866,-9.007884,-1.4016263,10.459145
