segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
4,0.13999999999999999,0.98,0.07463781,0.13612196180555555,4358.8457290341985,3120.8962292731403,-225.4141,68.1818,-86.74751,61.06276,-13.036624,1.1715959,-29.97098,-1.0369302,-17.627428,12.327886,-18.520906,-3.6827524,-2.500193
27,2.4499999999999997,3.3600000000000003,0.07827287,0.12457345545977011,4345.81454554449,3209.9589070178863,-231.48987,69.85775,-76.37531,53.39104,-15.865493,-0.09971981,-31.665432,-1.0123327,-16.491213,0.15750363,-14.46454,-10.750001,5.990345
49,4.76,5.25,0.08382813,0.09939874387254902,3911.6371225812154,3211.9466626689978,-215.49654,86.55964,-76.94133,41.934216,-16.921064,-0.62431693,-32.347515,1.891535,-12.153917,-1.9959854,-12.288489,-9.540611,12.705662
75,6.93,7.56,0.1135158,0.08644903273809523,3620.1080941196087,3085.186592870632,-210.90227,92.98737,-73.04649,49.635456,-25.5056,-11.995003,-29.244535,-2.001879,-9.91099,-3.1687875,-11.843602,-5.3714585,11.549856
98,9.03,9.799999999999999,0.07923705,0.14362630208333332,4462.017315896882,3190.9665240437416,-239.89474,80.38857,-70.17734,54.02905,-13.639488,-2.7810283,-25.99472,-1.3457321,-13.6896715,-0.38278872,-11.856521,-4.7011566,6.8693895
