segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
7,0.35,1.19,0.12729013,0.09226104359567901,3461.078984267958,3028.544435000812,-223.03766,107.89141,-74.56082,21.184114,-35.045933,18.281916,-28.091116,4.869172,-2.2939663,6.004668,-2.8314884,6.066729,0.90526056
17,1.75,2.52,0.0632613,0.09266927083333333,3739.7209821714323,3608.6092791391475,-236.43823,117.74043,-55.718697,15.447922,-43.231007,24.140898,-38.108017,19.800667,-12.182354,9.173869,-5.1034346,4.623517,-9.81633
54,5.39,6.2299999999999995,0.07830392,0.09517264660493827,3249.9167384188054,3027.1053220355766,-245.96788,118.41157,-67.82431,7.738346,-42.259445,17.997034,-33.46454,8.831675,-2.3007176,6.0671916,3.8520138,5.651966,0.8987289
