segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,0.0,1.26,0.20310591,0.053470934851694914,2724.5224650537984,3815.5328888809167,-230.35701,120.15897,14.565104,12.296887,-19.9448,9.418039,-27.50955,-5.688184,-17.313553,-12.243906,-8.570919,-6.0991817,-13.999874
2,1.19,2.38,0.2224363,0.08378383091517858,3130.538461901473,3452.5061704493223,-209.25415,101.149155,-43.49538,-9.424194,-14.356063,14.58774,-25.044104,3.5886977,-9.834831,-3.0045793,-3.0111263,-1.7505695,-1.7482773
3,2.31,2.73,0.18209437,0.10524088541666667,3483.3271110678447,3346.8318489198286,-205.50972,98.096054,-98.65879,-20.101917,-16.742157,41.05659,-21.843899,16.759638,-22.009876,-2.639998,-16.626482,-16.135502,8.069204
4,2.66,3.08,0.24931315,0.10528428819444445,3441.4650352141134,3176.5425683321955,-178.23703,95.19852,-96.99877,-18.838156,-14.909617,40.082764,-17.483355,19.33057,-18.361143,-4.3627796,-9.940164,-17.619186,6.6013875
5,3.01,4.41,0.28030118,0.09592507102272728,3060.112348056009,2873.962958339754,-180.89421,100.25789,-95.7373,-29.6524,-19.155495,32.906403,-19.770103,20.746311,-14.894728,-1.1474596,-3.033324,-17.810154,-11.051229
