segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,0.35,0.10569669,0.07065054086538461,2349.8172749428018,2899.109074068274,-346.40805,151.51877,26.080515,-15.283635,-25.436012,-16.254227,-4.8892956,-6.9821873,-8.62304,-10.529427,-12.91204,-13.88301,-7.9699817
3,0.27999999999999997,0.63,0.085649595,0.030260917467948716,1264.7394028429671,2289.1155483636016,-350.38885,200.65495,33.39481,-23.29356,-37.58062,-21.646118,-4.0922923,-5.3159814,-7.514556,-10.627385,-17.591372,-23.20024,-14.504778
14,1.26,2.2399999999999998,0.17490211,0.029447514960106384,1415.9659696407934,2030.632743099767,-303.58832,177.07251,34.16624,-21.006628,-46.460575,-36.736347,-14.975188,-20.250826,-20.06892,-12.705686,-10.443721,-9.837059,-9.764067
15,2.17,2.52,0.086152226,0.029071514423076924,1390.6438187437998,2648.070070772389,-369.9959,168.14722,60.540627,-6.3187785,-36.255478,-36.278667,-22.650957,-17.825191,-13.487588,-6.0792627,-7.6579623,-12.235168,-7.218358
23,2.94,3.29,0.13552833,0.04220502804487179,2368.6555962271586,2969.2084158027674,-331.746,152.81575,26.051245,-8.286396,-36.060097,-34.85995,-14.293191,-12.35953,-14.867539,-14.419235,-7.182539,-6.269597,-8.557028
24,3.22,3.5700000000000003,0.12572286,0.02465194310897436,1077.3655905732205,1990.8312816603575,-324.5975,191.9684,38.28365,-15.020525,-38.64074,-33.883038,-16.184393,-14.655036,-19.739971,-19.354637,-12.396413,-13.3264065,-14.962161
25,3.5,3.8499999999999996,0.080117434,0.027731870993589744,1265.2964350858656,2426.5426169215466,-369.73096,194.69594,43.32225,-5.2139554,-31.979366,-30.002348,-10.284304,-9.854825,-11.875592,-8.5064,-14.29523,-21.068727,-13.562354
