segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
76,7.140000000000001,8.19,0.059404004,0.152705078125,4297.625199983209,2794.364456136208,-271.5177,56.793907,-100.92205,70.096825,8.463997,12.848286,-60.068527,22.884483,3.3831642,-1.4501336,-25.219978,12.983362,-9.110965
77,8.120000000000001,8.959999999999999,0.06643302,0.15403766396604937,4038.680329686348,2224.9842656354417,-317.3613,45.236244,-104.12531,94.26928,28.538025,9.659802,-52.155056,19.675642,12.56577,-7.739676,-21.208958,12.6044,-8.709301
80,9.17,9.799999999999999,0.061741713,0.15444413442460317,4367.321348973075,2607.2974875037385,-343.69778,21.58153,-88.79858,86.6162,28.270672,5.100312,-58.28165,29.121368,23.079597,-4.061674,-22.4487,17.466616,-6.775752
97,11.27,11.76,0.061163772,0.15652765012254902,4566.540646080373,3172.4689059761213,-289.24036,44.393757,-72.159546,62.09764,19.51225,13.7574,-56.48676,25.227097,9.476493,-5.4662666,-28.954666,13.131329,-6.450181
108,13.72,14.14,0.05561001,0.14937065972222222,4179.269902224911,2631.588964843392,-292.4059,64.04043,-87.58912,72.288155,13.957642,8.082363,-44.97332,24.282227,11.914554,-1.387341,-18.221607,12.764452,-9.925679
114,14.42,14.98,0.055458773,0.14780359100877194,3823.8642477789535,2339.234751957208,-303.65015,73.00528,-93.975266,57.96518,17.354605,-1.4763954,-57.421806,15.908186,15.983535,-5.20975,-11.427151,13.376667,-2.9220476
119,15.33,15.959999999999999,0.06449827,0.14773995535714285,3750.5177006072113,2296.2602000672605,-319.41724,76.892624,-82.31169,57.698143,17.903934,-0.5001884,-59.35201,17.089579,17.333113,-13.237109,-20.755436,18.029942,-5.2019596
