segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
6,0.5599999999999999,1.54,0.14037159,0.0746083361037234,2345.502626690092,2174.461005047413,-226.91121,137.54135,-68.29438,-17.479015,-22.898085,12.013258,0.49244997,-10.694029,-7.680774,-3.0730698,5.210815,-0.6102854,7.1642613
8,1.54,2.4499999999999997,0.13637868,0.07765355603448276,2382.2591240177267,2199.1321452090897,-229.72061,144.97636,-78.05715,-19.395063,-28.118889,17.900265,-9.676992,-5.7531185,-7.3281903,-2.155129,4.028332,-4.767875,6.118538
9,2.38,3.29,0.14300622,0.08027455998563218,2346.558671460512,2120.3613376771673,-230.2524,143.57355,-79.72378,-24.392971,-23.457579,18.040016,-20.620089,-8.609549,-5.7326984,0.10147795,4.133582,-4.131302,8.381444
