segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
4,0.13999999999999999,1.33,0.10332924,0.07640729631696429,2634.7279373998276,2974.1479023253123,-185.3258,154.43498,-46.295197,21.450453,-21.918108,27.780565,-10.348388,9.461152,-5.0520296,7.0698166,-4.0394654,1.2215042,-5.4035783
8,1.47,2.59,0.110988066,0.08454635908018868,3009.8090192999844,3152.808211199809,-178.00447,141.54866,-46.965958,31.638597,-29.178858,26.218699,-11.550736,5.88061,0.059643034,6.380879,-5.8697,6.0018554,-4.2924356
14,2.87,4.13,0.1568124,0.06484209480932203,2311.181191738053,2592.758165118327,-177.10167,165.43744,-52.486935,13.770123,-15.052682,11.313456,-10.541975,13.245716,-11.01585,1.6581088,-5.9715223,6.8546276,-2.8746822
20,4.41,5.46,0.12924361,0.0605615234375,3035.0759381908642,3257.7068924688397,-172.75188,139.33328,-44.37317,36.93521,-37.954586,21.661106,-5.229165,14.972285,-8.821739,2.3573627,-8.142525,5.4103065,-0.5421887
30,6.02,7.07,0.13296919,0.080791015625,3145.89944588638,3492.9901229811167,-201.92094,124.287506,-19.213322,29.343811,-33.169533,13.759753,-0.64125025,18.763222,-10.823775,-6.8279305,-4.8360004,6.1734295,2.2665155
