segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,0.0,1.26,0.10196311,0.07454681396484375,1015.0089483569535,853.2033499027713,-269.6058,236.73273,-20.058784,-63.0675,-40.488262,24.946367,-16.942028,-19.093502,7.776904,4.5442505,-4.390154,-2.4325514,0.38110566
19,2.52,3.8499999999999996,0.11812429,0.019301470588235295,327.09774106285033,400.4689489097956,-407.00195,174.85345,68.16069,16.71042,23.076561,29.101997,13.272799,-2.1019564,-5.1984324,-3.343637,-5.466252,-9.439765,-12.310622
34,5.04,5.53,0.0574483,0.024379185267857144,619.524525572345,845.4765067740071,-344.1658,224.94876,-0.66853017,-17.035961,23.474674,15.5745,3.8346741,5.5919447,-5.1866693,-4.949576,-7.919194,-12.870802,-5.919725
