segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,0.35,0.100523084,0.056077223557692304,1886.5457462954514,2319.533976068163,-357.37158,161.44373,11.860759,-15.242771,-24.429585,-16.431585,-11.042402,-5.4576406,-9.4757805,-7.725011,-11.037802,-9.270209,0.537997
3,0.27999999999999997,0.8400000000000001,0.0907782,0.03101014254385965,1015.7664253820266,1458.0624485867233,-313.56818,219.18643,19.414854,-22.494083,-39.75551,-21.99962,-15.204479,-8.947216,-11.071883,-8.757883,-15.885369,-10.148762,6.1789584
4,0.77,1.1199999999999999,0.058336668,0.03341596554487179,1170.1229019851176,1752.682944032743,-363.8845,189.88385,31.860533,-26.866564,-41.38261,-18.165863,-6.9413795,-7.259926,-10.502894,-12.987926,-15.708711,-5.649945,12.439816
