segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,0.0,0.35,0.09409753,0.039475661057692304,2149.695348015736,3490.451664022119,-302.41333,149.19041,30.055758,11.396516,-32.770905,4.006022,2.2121787,9.645041,2.1263623,-4.8903804,-4.607899,13.815627,-10.27381
2,0.27999999999999997,0.42000000000000004,0.06391372,0.02122860863095238,1822.903842559253,3410.8254087531373,-333.61652,158.00008,48.174618,13.116214,-24.170422,2.8832455,9.836702,14.591713,9.616737,-10.042003,-1.5621313,15.62509,-10.166688
3,0.35,0.7,0.08729123,0.04279346955128205,2373.6436101234203,3635.885184793901,-332.73495,146.07475,38.508488,5.875222,-27.519014,-3.256415,-0.6871857,15.603076,9.697791,-9.120606,-5.2685547,10.725054,-4.107484
