segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,0.49,0.093489215,0.05575980392156863,2804.143279198483,3433.9353051214375,-332.15186,122.41503,-30.221926,-21.021397,-35.439053,-5.889609,7.2225327,28.971842,2.010723,-3.3832633,3.3457017,-10.44574,-5.655131
15,1.6800000000000002,2.38,0.12568249,0.043619791666666664,2265.3513280177012,3247.869002396974,-287.28366,128.76794,-23.164516,-19.714905,-27.171753,-0.63155466,12.055606,32.618446,11.858315,1.8795117,3.8075535,-6.0512547,-1.5935098
16,2.31,2.4499999999999997,0.062448002,0.03952752976190476,2554.089740557185,4045.440315876164,-382.879,121.34821,1.2487259,-20.474566,-19.952684,0.09582838,21.227228,33.48581,16.665918,0.6091008,-3.199659,-7.555898,1.0120797
20,2.66,2.8,0.07064729,0.041806175595238096,2426.1560300106275,3667.0525528169246,-349.1016,149.86569,-10.161693,-25.328552,-28.918514,-3.7928877,12.370761,37.718456,14.625588,2.2211204,2.5979495,-5.248559,-8.505391
23,3.01,3.15,0.08196826,0.016531808035714284,2339.9658670403883,4349.322131703921,-396.69342,105.20792,12.206816,7.163673,-3.8710923,9.959507,21.204391,31.812372,20.51713,7.9480257,3.9720478,0.4486262,2.7415931
24,3.08,3.43,0.14207816,0.03595753205128205,2233.5598595141314,3385.8798060961067,-308.40076,119.57699,-21.90117,-2.9354856,-18.521246,11.711561,19.90097,35.75711,10.410808,-5.4331865,0.8516387,-0.02439167,8.452376
32,4.2700000000000005,4.8999999999999995,0.16558522,0.04320901537698413,2585.774597318531,3418.874141485119,-274.28784,113.43631,-34.894634,-18.673681,-31.574123,-0.8136915,8.274529,33.034164,9.019079,-5.8429036,0.76895595,-5.015523,-2.1404479
44,6.02,6.6499999999999995,0.20915268,0.04407707093253968,2397.7008533380867,3305.078336629634,-279.95786,101.89268,-31.221891,-14.360211,-31.137089,-2.2339084,9.968962,34.85321,10.0787945,-2.3212075,-2.679513,-11.482799,-0.90928835
