segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,0.0,0.27999999999999997,0.13352299,0.03949159564393939,1527.339087041531,2115.993308804454,-299.58145,169.42664,6.6266975,-26.164454,-40.26907,-9.282032,-10.410525,-19.31559,-11.892222,-6.8543015,-9.473995,-11.360629,-3.0968504
2,0.21000000000000002,0.5599999999999999,0.07314911,0.031375200320512824,1209.7406852166157,1717.5317348825552,-311.79556,217.70183,2.4326952,-22.3097,-46.512043,-13.843425,-5.6532288,-13.829912,-14.609702,-8.384031,-16.295506,-12.960008,-1.4944482
3,0.49,0.8400000000000001,0.08645773,0.032138922275641024,1082.707505436102,1501.4067779024206,-325.9176,205.32098,15.780076,-30.847921,-49.0047,-17.03907,-6.7392507,-13.065484,-12.196989,-7.940422,-14.320332,-9.670235,2.410121
