segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
44,3.7100000000000004,4.41,0.087950766,0.14893863075657895,2755.307223435447,2243.1232532100876,-279.47946,32.236904,-85.130196,-15.644909,-26.565117,-32.58283,-48.193165,3.7166913,-17.918402,17.741068,2.4780202,20.027887,8.372073
90,8.049999999999999,8.68,0.10361278,0.14381975446428572,2712.311480522968,2060.0467743525255,-269.83694,25.996292,-89.12239,-7.819038,-37.78892,-26.695103,-35.537296,-5.7732415,0.985348,18.353025,-0.22994679,19.95659,4.6163683
140,12.6,13.72,0.081112854,0.11774313038793104,2260.7032064714867,1896.1710710758894,-299.28986,58.324974,-74.23345,-28.748075,-30.590538,-30.396954,-44.588207,10.76581,-6.0471687,15.388109,2.7562382,1.2611622,-0.0945696
187,17.22,17.849999999999998,0.105050914,0.14298270089285714,2737.9097484701215,2116.2239751405536,-252.70747,30.329308,-91.26281,-19.451155,-24.122084,-31.873013,-53.329044,11.070154,-11.092973,21.210154,3.5719965,12.6358185,9.697582
244,22.47,23.099999999999998,0.08882741,0.16070033482142856,3004.1435735299137,2457.4377684436795,-242.8183,26.723898,-84.279495,-18.245893,-41.84857,-29.56633,-35.55178,2.0996194,-13.314699,19.648218,-15.047837,24.867561,5.508716
303,27.16,28.0,0.08522749,0.13899739583333334,2638.951374356179,2120.0690052826108,-260.7205,50.360527,-87.04171,-14.975805,-21.183989,-29.161171,-46.676903,7.0123,-10.100202,20.41164,0.8501325,12.608902,6.117003
